NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
14,2,111,1,18,"binit@39-56@.\bio.c",".\bio.c","binit","binit( void)",39,56
25,7,181,2,32,"bget@62-93@.\bio.c",".\bio.c","bget","bget( uint dev , uint blockno)",62,93
9,2,46,2,10,"bread@97-106@.\bio.c",".\bio.c","bread","bread( uint dev , uint blockno)",97,106
7,2,36,1,7,"bwrite@110-116@.\bio.c",".\bio.c","bwrite","bwrite( struct buf * b)",110,116
17,3,121,1,21,"brelse@121-141@.\bio.c",".\bio.c","brelse","brelse( struct buf * b)",121,141
21,4,176,1,31,"bootmain@18-48@.\bootmain.c",".\bootmain.c","bootmain","bootmain( void)",18,48
5,2,20,1,6,"waitdisk@51-56@.\bootmain.c",".\bootmain.c","waitdisk","waitdisk( void)",51,56
12,1,85,2,15,"readsect@60-74@.\bootmain.c",".\bootmain.c","readsect","readsect( void * dst , uint offset)",60,74
9,2,61,3,18,"readseg@79-96@.\bootmain.c",".\bootmain.c","readseg","readseg( uchar * pa , uint count , uint offset)",79,96
14,4,77,1,15,"cat@8-22@.\cat.c",".\cat.c","cat","cat( int fd)",8,22
17,4,100,1,19,"main@25-43@.\cat.c",".\cat.c","main","main( int argc , char * argv [ ])",25,43
19,5,114,3,23,"printint@28-50@.\console.c",".\console.c","printint","printint( int xx , int base , int sign)",28,50
45,14,245,1,50,"cprintf@55-104@.\console.c",".\console.c","cprintf","cprintf( char * fmt , ...)",55,104
16,3,87,1,18,"panic@107-124@.\console.c",".\console.c","panic","panic( char * s)",107,124
26,7,215,1,32,"cgaputc@132-163@.\console.c",".\console.c","cgaputc","cgaputc( int c)",132,163
13,4,57,1,14,"consputc@166-179@.\console.c",".\console.c","consputc","consputc( int c)",166,179
40,16,252,1,42,"consoleintr@192-233@.\console.c",".\console.c","consoleintr","consoleintr( int(*getc)(void))",192,233
32,7,174,3,36,"consoleread@236-271@.\console.c",".\console.c","consoleread","consoleread( struct inode * ip , char * dst , int n)",236,271
11,2,71,3,13,"consolewrite@274-286@.\console.c",".\console.c","consolewrite","consolewrite( struct inode * ip , char * buf , int n)",274,286
8,1,47,1,10,"consoleinit@289-298@.\console.c",".\console.c","consoleinit","consoleinit( void)",289,298
7,3,55,1,8,"main@6-13@.\echo.c",".\echo.c","main","main( int argc , char * argv [ ])",6,13
85,22,683,2,104,"exec@11-114@.\exec.c",".\exec.c","exec","exec( char * path , char ** argv)",11,114
4,1,16,1,4,"fileinit@20-23@.\file.c",".\file.c","fileinit","fileinit( void)",20,23
14,3,78,1,15,"filealloc@27-41@.\file.c",".\file.c","filealloc","filealloc( void)",27,41
9,2,46,1,9,"filedup@45-53@.\file.c",".\file.c","filedup","filedup( struct file * f)",45,53
22,5,125,1,24,"fileclose@57-80@.\file.c",".\file.c","fileclose","fileclose( struct file * f)",57,80
10,2,54,2,10,"filestat@84-93@.\file.c",".\file.c","filestat","filestat( struct file * f , struct stat * st)",84,93
16,5,112,3,17,"fileread@97-113@.\file.c",".\file.c","fileread","fileread( struct file * f , char * addr , int n)",97,113
30,10,201,3,39,"filewrite@118-156@.\file.c",".\file.c","filewrite","filewrite( struct file * f , char * addr , int n)",118,156
4,1,26,2,4,"printf@11-14@.\forktest.c",".\forktest.c","printf","printf( int fd , const char * s , ...)",11,14
27,8,140,1,33,"forktest@17-49@.\forktest.c",".\forktest.c","forktest","forktest( void)",17,49
5,1,14,1,5,"main@52-56@.\forktest.c",".\forktest.c","main","main( void)",52,56
7,1,46,2,8,"readsb@32-39@.\fs.c",".\fs.c","readsb","readsb( int dev , struct superblock * sb)",32,39
8,1,45,2,9,"bzero@43-51@.\fs.c",".\fs.c","bzero","bzero( int dev , int bno)",43,51
21,5,153,1,22,"balloc@57-78@.\fs.c",".\fs.c","balloc","balloc( uint dev)",57,78
13,2,94,2,14,"bfree@82-95@.\fs.c",".\fs.c","bfree","bfree( int dev , uint b)",82,95
13,2,93,1,15,"iinit@172-186@.\fs.c",".\fs.c","iinit","iinit( int dev)",172,186
19,3,126,2,20,"ialloc@195-214@.\fs.c",".\fs.c","ialloc","ialloc( uint dev , short type)",195,214
15,1,122,1,16,"iupdate@221-236@.\fs.c",".\fs.c","iupdate","iupdate( struct inode * ip)",221,236
24,8,161,2,31,"iget@242-272@.\fs.c",".\fs.c","iget","iget( uint dev , uint inum)",242,272
7,1,33,1,7,"idup@277-283@.\fs.c",".\fs.c","idup","idup( struct inode * ip)",277,283
22,5,171,1,25,"ilock@288-312@.\fs.c",".\fs.c","ilock","ilock( struct inode * ip)",288,312
6,4,43,1,7,"iunlock@316-322@.\fs.c",".\fs.c","iunlock","iunlock( struct inode * ip)",316,322
19,4,113,1,21,"iput@332-352@.\fs.c",".\fs.c","iput","iput( struct inode * ip)",332,352
5,1,19,1,5,"iunlockput@356-360@.\fs.c",".\fs.c","iunlockput","iunlockput( struct inode * ip)",356,360
24,6,176,2,28,"bmap@373-400@.\fs.c",".\fs.c","bmap","bmap( struct inode * ip , uint bn)",373,400
25,6,182,1,28,"itrunc@408-435@.\fs.c",".\fs.c","itrunc","itrunc( struct inode * ip)",408,435
8,1,54,2,8,"stati@440-447@.\fs.c",".\fs.c","stati","stati( struct inode * ip , struct stat * st)",440,447
21,9,200,4,24,"readi@453-476@.\fs.c",".\fs.c","readi","readi( struct inode * ip , char * dst , uint off , uint n)",453,476
26,11,226,4,30,"writei@482-511@.\fs.c",".\fs.c","writei","writei( struct inode * ip , char * src , uint off , uint n)",482,511
4,1,24,2,4,"namecmp@517-520@.\fs.c",".\fs.c","namecmp","namecmp( const char * s , const char * t)",517,520
20,7,144,3,24,"dirlookup@525-548@.\fs.c",".\fs.c","dirlookup","dirlookup( struct inode * dp , char * name , uint * poff)",525,548
21,6,169,3,27,"dirlink@552-578@.\fs.c",".\fs.c","dirlink","dirlink( struct inode * dp , char * name , uint inum)",552,578
22,7,111,2,23,"skipelem@596-618@.\fs.c",".\fs.c","skipelem","skipelem( char * path , char * name)",596,618
30,8,163,3,33,"namex@625-657@.\fs.c",".\fs.c","namex","namex( char * path , int nameiparent , char * name)",625,657
5,1,24,1,5,"namei@660-664@.\fs.c",".\fs.c","namei","namei( char * path)",660,664
4,1,22,2,4,"nameiparent@667-670@.\fs.c",".\fs.c","nameiparent","nameiparent( char * path , char * name)",667,670
25,6,160,2,26,"grep@11-36@.\grep.c",".\grep.c","grep","grep( char * pattern , int fd)",11,36
23,5,134,1,26,"main@39-64@.\grep.c",".\grep.c","main","main( int argc , char * argv [ ])",39,64
10,4,58,2,10,"match@73-82@.\grep.c",".\grep.c","match","match( char * re , char * text)",73,82
12,8,109,2,12,"matchhere@85-96@.\grep.c",".\grep.c","matchhere","matchhere( char * re , char * text)",85,96
8,5,53,3,8,"matchstar@99-106@.\grep.c",".\grep.c","matchstar","matchstar( int c , char * re , char * text)",99,106
9,4,55,1,10,"idewait@39-48@.\ide.c",".\ide.c","idewait","idewait( int checkerr)",39,48
15,3,91,1,20,"ideinit@51-70@.\ide.c",".\ide.c","ideinit","ideinit( void)",51,70
25,7,213,1,27,"idestart@74-100@.\ide.c",".\ide.c","idestart","idestart( struct buf * b)",74,100
18,5,108,1,28,"ideintr@104-131@.\ide.c",".\ide.c","ideintr","ideintr( void)",104,131
21,8,148,1,31,"iderw@138-168@.\ide.c",".\ide.c","iderw","iderw( struct buf * b)",138,168
25,7,138,1,27,"main@11-37@.\init.c",".\init.c","main","main( void)",11,37
5,1,18,1,5,"ioapicread@35-39@.\ioapic.c",".\ioapic.c","ioapicread","ioapicread( int reg)",35,39
5,1,22,2,5,"ioapicwrite@42-46@.\ioapic.c",".\ioapic.c","ioapicwrite","ioapicwrite( int reg , uint data)",42,46
13,3,103,1,17,"ioapicinit@49-65@.\ioapic.c",".\ioapic.c","ioapicinit","ioapicinit( void)",49,65
5,1,39,2,8,"ioapicenable@68-75@.\ioapic.c",".\ioapic.c","ioapicenable","ioapicenable( int irq , int cpunum)",68,75
6,1,35,2,6,"kinit1@32-37@.\kalloc.c",".\kalloc.c","kinit1","kinit1( void * vstart , void * vend)",32,37
5,1,25,2,5,"kinit2@40-44@.\kalloc.c",".\kalloc.c","kinit2","kinit2( void * vstart , void * vend)",40,44
7,2,52,2,7,"freerange@47-53@.\kalloc.c",".\kalloc.c","freerange","freerange( void * vstart , void * vend)",47,53
14,6,98,1,18,"kfree@60-77@.\kalloc.c",".\kalloc.c","kfree","kfree( char * v)",60,77
12,4,64,1,13,"kalloc@83-95@.\kalloc.c",".\kalloc.c","kalloc","kalloc( void)",83,95
33,11,206,1,38,"kbdgetc@7-44@.\kbd.c",".\kbd.c","kbdgetc","kbdgetc( void)",7,44
4,1,11,1,4,"kbdintr@47-50@.\kbd.c",".\kbd.c","kbdintr","kbdintr( void)",47,50
11,3,61,2,12,"main@6-17@.\kill.c",".\kill.c","main","main( int argc , char ** argv)",6,17
5,1,22,2,5,"lapicw@48-52@.\lapic.c",".\lapic.c","lapicw","lapicw( int index , int value)",48,52
22,4,157,1,44,"lapicinit@55-98@.\lapic.c",".\lapic.c","lapicinit","lapicinit( void)",55,98
6,2,23,1,6,"lapicid@101-106@.\lapic.c",".\lapic.c","lapicid","lapicid( void)",101,106
5,2,17,1,5,"lapiceoi@110-114@.\lapic.c",".\lapic.c","lapiceoi","lapiceoi( void)",110,114
